dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,cumulative_cases,cumulative_deaths
2020-02-08,8,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-09,9,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-09,9,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-02-09,9,2,2020,0,0,France,fr,FRA,67012883,Europe,0.011938,11,0
2020-02-09,9,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-10,10,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-10,10,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-02-10,10,2,2020,0,0,France,fr,FRA,67012883,Europe,0.011938,11,0
2020-02-10,10,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-11,11,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-11,11,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-02-11,11,2,2020,0,0,France,fr,FRA,67012883,Europe,0.011938,11,0
2020-02-11,11,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-12,12,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-12,12,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-02-12,12,2,2020,0,0,France,fr,FRA,67012883,Europe,0.01044575,11,0
2020-02-12,12,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-13,13,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-13,13,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-02-13,13,2,2020,0,0,France,fr,FRA,67012883,Europe,0.0089535,11,0
2020-02-13,13,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-14,14,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-14,14,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-02-14,14,2,2020,0,0,France,fr,FRA,67012883,Europe,0.00746125,11,0
2020-02-14,14,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-15,15,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-15,15,2,2020,1,0,Egypt,eg,EGY,100388076,Africa,9.9613e-4,1,0
2020-02-15,15,2,2020,0,1,France,fr,FRA,67012883,Europe,0.00746125,11,1
2020-02-15,15,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-16,16,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-16,16,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,9.9613e-4,1,0
2020-02-16,16,2,2020,0,0,France,fr,FRA,67012883,Europe,0.00746125,11,1
2020-02-16,16,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-17,17,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-17,17,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,9.9613e-4,1,0
2020-02-17,17,2,2020,1,0,France,fr,FRA,67012883,Europe,0.0089535,12,1
2020-02-17,17,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-18,18,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-18,18,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,9.9613e-4,1,0
2020-02-18,18,2,2020,0,0,France,fr,FRA,67012883,Europe,0.0089535,12,1
2020-02-18,18,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-19,19,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-19,19,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,9.9613e-4,1,0
2020-02-19,19,2,2020,0,0,France,fr,FRA,67012883,Europe,0.0089535,12,1
2020-02-19,19,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-20,20,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-20,20,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,9.9613e-4,1,0
2020-02-20,20,2,2020,0,0,France,fr,FRA,67012883,Europe,0.0089535,12,1
